source_ip,destination_ip,source_port,destination_port,protocol,timestamp,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes/bulk,fwd_avg_packets/bulk,fwd_avg_bulk_rate,bwd_avg_bytes/bulk,bwd_avg_packets/bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
192.168.1.101,52.182.143.209,65002,443,TCP,24:03.1,0,1,0,173,0,173,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,173,173,173,0,0,0,0,0,1,1,0,0,0,1,0,173,0,173,1,0,0,0,0,1,173,0,0,512,512,0,173,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,52.182.143.209,65002,443,TCP,24:03.1,0.055,2,0,266,0,173,93,133,40,0,0,0,0,4836363.636,36363.63636,0.0275,0.0275,0.055,0,0.055,0.0275,0.0275,0.055,0,0,0,0,0,0,0,0,0,0,40,0,0,0,93,173,133,40,1600,0,0,0,2,2,0,0,0,2,0,133,0,133,2,2418.181818,0,0,0,2,266,0,0,512,512,0,93,0.0275,0.0275,0.055,0,0.0275,0.0275,0.055,0,PortScan
192.168.1.101,52.182.143.209,65002,443,TCP,24:03.1,0.104,3,0,16726,0,16460,93,5575.333333,7696.690905,0,0,0,0,160826923.1,28846.15385,0.034666667,0.024635115,0.055,0,0.104,0.034666667,0.024635115,0.055,0,0,0,0,0,0,0,0,0,0,60,0,0,0,93,16460,5575.333333,7696.690905,59239050.89,0,0,0,3,3,0,0,0,3,0,5575.333333,0,5575.333333,3,53608.97436,0,0,0,3,16726,0,0,512,512,0,93,0.034666667,0.024635115,0.055,0,0.034666667,0.024635115,0.055,0,PortScan
192.168.1.101,52.182.143.209,65002,443,TCP,24:03.1,0.18,4,0,16934,0,16460,93,4233.5,7059.096135,0,0,0,0,94077777.78,22222.22222,0.045,0.027847801,0.076,0,0.18,0.045,0.027847801,0.076,0,0,0,0,0,0,0,0,0,0,80,0,0,0,93,16460,4233.5,7059.096135,49830838.25,0,0,0,4,4,0,0,0,4,0,4233.5,0,4233.5,4,23519.44444,0,0,0,4,16934,0,0,512,512,0,93,0.045,0.027847801,0.076,0,0.045,0.027847801,0.076,0,PortScan
192.168.1.101,192.168.1.1,58342,53,UDP,24:03.2,0,1,0,77,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,77,77,77,0,0,0,0,0,0,0,0,0,0,1,0,77,0,77,1,0,0,0,0,1,77,0,0,512,512,0,77,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,192.168.1.1,50392,53,UDP,24:03.2,0,1,0,77,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,77,77,77,0,0,0,0,0,0,0,0,0,0,1,0,77,0,77,1,0,0,0,0,1,77,0,0,512,512,0,77,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,192.168.1.1,57611,53,UDP,24:03.2,0,1,0,77,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,77,77,77,0,0,0,0,0,0,0,0,0,0,1,0,77,0,77,1,0,0,0,0,1,77,0,0,512,512,0,77,0,0,0,0,0,0,0,0,PortScan
192.168.1.1,192.168.1.101,53,58342,UDP,24:03.2,0,1,0,105,0,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,105,105,105,0,0,0,0,0,0,0,0,0,0,1,0,105,0,105,1,0,0,0,0,1,105,0,0,512,512,0,105,0,0,0,0,0,0,0,0,PortScan
192.168.1.1,192.168.1.101,53,50392,UDP,24:03.2,0,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,93,93,93,0,0,0,0,0,0,0,0,0,0,1,0,93,0,93,1,0,0,0,0,1,93,0,0,512,512,0,93,0,0,0,0,0,0,0,0,PortScan
192.168.1.1,192.168.1.101,53,57611,UDP,24:03.2,0,1,0,137,0,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,137,137,137,0,0,0,0,0,0,0,0,0,0,1,0,137,0,137,1,0,0,0,0,1,137,0,0,512,512,0,137,0,0,0,0,0,0,0,0,PortScan
